,CapsIsShift+,,+
a,TRUE,a,A
b,TRUE,b,B
c,TRUE,c,C
d,TRUE,d,D
e,TRUE,e,E
f,TRUE,f,F
g,TRUE,g,G
h,TRUE,h,H
i,TRUE,i,I
j,TRUE,j,J
k,TRUE,k,K
l,TRUE,l,L
m,TRUE,m,M
n,TRUE,n,N
o,TRUE,o,O
p,TRUE,p,P
q,TRUE,q,Q
r,TRUE,r,R
s,TRUE,s,S
t,TRUE,t,T
u,TRUE,u,U
v,TRUE,v,V
w,TRUE,w,W
x,TRUE,x,X
y,TRUE,y,Y
z,TRUE,z,Z
Space,FALSE, , 
1,FALSE,1,{!}
2,FALSE,2,@
3,FALSE,3,{#}
4,FALSE,4,$
5,FALSE,5,%
6,FALSE,6,{^}
7,FALSE,7,&
8,FALSE,8,*
9,FALSE,9,(
0,FALSE,0,)
`,FALSE,`,~
[,FALSE,[,{{}
],FALSE,],{}}
',FALSE,',""""
",",FALSE,",",<
.,FALSE,.,>
/,FALSE,/,?
=,FALSE,=,{+}
\,FALSE,\,|
-,FALSE,-,_
;,FALSE,;,:
